gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,at,costat,ggroup,gind,gsector,gsubind
001045,20211231,2021,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,66467.0000,A,2030,203020,20,20302010
001075,20211231,2021,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,22003.2220,A,5510,551010,55,55101010
001076,20211231,2021,INDL,C,D,STD,PRG,PROG HOLDINGS INC,USD,1621.7610,A,4020,402020,40,40202010
001078,20211231,2021,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,75196.0000,A,3510,351010,35,35101010
001096,20211231,2021,INDL,C,D,STD,MRCBF,MORGUARD CORP,CAD,11492.5430,A,6010,601020,60,60102020
001104,20211231,2021,INDL,C,D,STD,ACU,ACME UNITED CORP,USD,144.4390,A,2020,202010,20,20201060
001119,20211231,2021,INDL,C,D,STD,ADX,ADAMS DIVERSIFIED EQUITY FD,USD,,A,,,,
001121,20211231,2021,INDL,C,D,STD,AE,ADAMS RESOURCES & ENERGY INC,USD,374.7030,A,1010,101020,10,10102030
001161,20211231,2021,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,12419.0000,A,4530,453010,45,45301020
001166,20211231,2021,INDL,C,D,STD,ASMIY,ASM INTERNATIONAL NV,USD,3083.3900,A,4530,453010,45,45301010
001186,20211231,2021,INDL,C,D,STD,AEM,AGNICO EAGLE MINES LTD,USD,10186.7760,A,1510,151040,15,15104030
001209,20210930,2021,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,26859.2000,A,1510,151010,15,15101040
001224,20210930,2021,INDL,C,D,STD,EGN1,SPIRE ALABAMA INC,USD,2170.5000,A,5510,551020,55,55102010
001225,20211231,2021,INDL,C,D,STD,SO1,ALABAMA POWER CO,USD,32982.0000,A,5510,551010,55,55101010
001230,20211231,2021,INDL,C,D,STD,ALK,ALASKA AIR GROUP INC,USD,13951.0000,A,2030,203020,20,20302010
001234,20211231,2021,INDL,C,D,STD,ATRI,ATRION CORP,USD,267.2640,A,3510,351010,35,35101020
001254,20211231,2021,INDL,C,D,STD,MATX,MATSON INC,USD,3693.1000,A,2030,203030,20,20303010
001257,20211231,2021,INDL,C,D,STD,ALX,ALEXANDER'S INC,USD,1391.9650,A,6010,601010,60,60101070
001257,20211231,2021,FS,C,D,STD,ALX,ALEXANDER'S INC,USD,1391.9650,A,6010,601010,60,60101070
001262,20211231,2021,INDL,C,D,STD,AGMJF,ALGOMA CENTRAL CORP,CAD,1200.0830,A,2030,203030,20,20303010
001266,20210930,2021,INDL,C,D,STD,ALCO,ALICO INC,USD,433.2170,A,3020,302020,30,30202010
001272,20210630,2021,INDL,C,D,STD,PBAJ,PETRO USA INC,USD,0.0000,A,2550,255040,25,25504050
001274,20211231,2021,FS,C,D,STD,Y,ALLEGHANY CORP,USD,32268.6750,A,4030,403010,40,40301050
001274,20211231,2021,INDL,C,D,STD,Y,ALLEGHANY CORP,USD,32268.6750,A,4030,403010,40,40301050
001300,20211231,2021,INDL,C,D,STD,HON,HONEYWELL INTERNATIONAL INC,USD,64470.0000,A,2010,201050,20,20105010
001327,20210930,2021,INDL,C,D,STD,SWKS,SKYWORKS SOLUTIONS INC,USD,8590.7000,A,4530,453010,45,45301020
001352,20211231,2021,INDL,C,D,STD,GYLD,ARROW DOW JONES GLBL YLD ETF,USD,,A,,,,
001380,20211231,2021,INDL,C,D,STD,HES,HESS CORP,USD,20515.0000,A,1010,101020,10,10102020
001388,20211231,2021,INDL,C,D,STD,AMR1,AMERICAN AIRLINES INC,USD,71145.0000,A,2030,203020,20,20302010
001410,20211031,2021,INDL,C,D,STD,ABM,ABM INDUSTRIES INC,USD,4436.2000,A,2020,202010,20,20201050
001414,20211231,2021,FS,C,D,STD,PRI,PRIMERICA INC,USD,16123.2230,A,4030,403010,40,40301020
001414,20211231,2021,INDL,C,D,STD,PRI,PRIMERICA INC,USD,16123.2230,A,4030,403010,40,40301020
001417,20210630,2021,INDL,C,D,STD,VBF,INVESCO BOND FUND,USD,,A,,,,
001439,20211231,2021,INDL,C,D,STD,ECOL,US ECOLOGY INC,USD,1805.3980,A,2020,202010,20,20201050
